"","date","NQ1.Index","RX1.Comdty","TU1.Comdty","SF1.Curncy","UB1.Comdty","HG1.Comdty","EC1.Curncy","FV1.Comdty","BO1.Comdty","VG1.Index","TY1.Comdty","BP1.Curncy","XM1.Comdty","GC1.Comdty","GX1.Index","EO1.Index","US1.Comdty","JY1.Curncy","Z.1.Index","SM1.Comdty","SI1.Comdty","NV1.Curncy","G.1.Comdty","LMNIDS03.Comdty","DU1.Comdty","CO1.Comdty","LMPBDS03.Comdty","SE1.Curncy","KW1.Comdty","QS1.Comdty","OE1.Comdty","LMZSDS03.Comdty","SM1.Index","LMAHDS03.Comdty","NO1.Curncy","C.1.Comdty","W.1.Comdty","SP1.Index","CF1.Index","CT1.Comdty","DX1.Curncy","XP1.Index","FC1.Comdty","IB1.Index","ST1.Index","LH1.Comdty","S.1.Comdty","AD1.Curncy","LC1.Comdty","CD1.Curncy"
"4685",2005-01-04,1780.98,89.59,95.9609375,110.89,76.54,138.49,1.51868,86.21875,50.23,1899.93,80.28125,187.26,93.5643,600.89,5061.78,248.82,82.90625,125.704,3615.3,59.71,9.391,49.31,72.52,14200,100.95,98.24,920,16.201,1750.875,669.74,92.97,1170,3948.24,1803,15.196,1028.0625,2417.9375,1144.54,2590.6,104.98,86.801,3640.2,123.767,5257.2,20008,149.688,431.125,55.82,135.566,81.965
"4686",2005-01-05,1761.85,89.63,95.94921875,110.92,76.68,141.79,1.51788,86.1953125,50.48,1901.21,80.28125,187.76,93.5445,598.23,5060.6,247.41,83.125,126.24,3594.8,59.71,9.511,49.12,72.42,14400,100.983,96.98,910,16.232,1777.5625,658.81,93.044,1208.5,3918.73,1825,15.209,1030.625,2448.5625,1137.04,2570.5,107.65,86.749,3608.1,123.028,5199.4,19972,148.221,432.75,55.86,133.955,81.785
"4689",2005-01-10,1764.67,89.96,95.92578125,109.69,77.55,141.22,1.49775,86.1328125,50.98,1914.67,80.265625,186.99,93.6287,587.59,5105.38,250.55,83.34375,126.096,3612,63.77,9.388,48.78,72.65,14900,101.059,102.75,896,15.998,1808.1875,723.5,93.25,1217,3920.11,1810,15.082,1057.5,2513.875,1145.21,2599.4,111.47,87.494,3642,123.826,5210.4,20043,146.851,450.4375,55.38,135.679,82.065
"4690",2005-01-11,1754.54,89.96,95.92578125,109.74,77.48,144.06,1.50118,86.1796875,50.23,1886.46,80.390625,187.13,93.7029,591.37,5020.53,248.86,83.71875,127.169,3597.4,63.27,9.661,49.1,72.6,15100,101.078,103.22,912,16.071,1800.1875,695.26,93.267,1230,3907.07,1835.5,15.156,1057.5,2503.6875,1137.71,2580.6,109.01,87.189,3634,124.8,5175.8,19775,150.764,446.125,55.64,137.664,82.316
"4691",2005-01-12,1764.67,89.9,95.94921875,111.11,77.44,144.78,1.51799,86.21875,49.52,1876.21,80.4375,188.55,93.7573,597.25,4978.1,247.37,83.8125,128.333,3569,62.01,9.814,49.69,72.56,14800,101.069,104.56,905,16.21,1813.5,684.75,93.234,1231,3874.12,1845,15.342,1025.5,2509.8125,1141.17,2558.5,109.94,86.255,3631.3,124.918,5161.3,19670,148.318,438.3125,56.07,137.926,83.549
"4692",2005-01-13,1744.41,90.23,96,110.44,77.95,142.41,1.51056,86.3828125,50.5,1885.18,80.703125,187.44,93.7524,595.15,4986.35,247.52,84.3125,128.085,3580.9,61.89,9.817,49.46,72.75,14745,101.173,108.23,896,16.113,1829.5,723.12,93.481,1236,3884.42,1830,15.287,1023,2511.875,1131.95,2570.5,109.2,86.665,3643.8,125.391,5207.2,19842,149.101,440.5625,56.02,136.615,83.409
"4693",2005-01-14,1758.48,90.28,95.90625,109.61,78.25,143.95,1.49832,86.234375,49.37,1887.75,80.578125,186.23,93.787,592.21,4994.01,248.68,84.15625,128.673,3595.5,59.29,9.606,49.03,72.7,14625,101.164,107.92,899,15.982,1784.1875,724.04,93.456,1238,3920.79,1830.5,15.143,1008.875,2430.1875,1137.62,2584.3,108.94,87.252,3625.9,125.037,5216.8,19975,150.226,426.625,55.46,136.84,82.156
"4695",2005-01-18,1773.67,90.39,95.890625,109.43,78.89,144.52,1.49112,86.21875,48.89,1905.05,80.640625,186.09,93.7177,592.91,5035.85,249.7,84.5,128.385,3597.7,58.87,9.686,48.96,72.43,14650,101.145,108.95,897,15.932,1784.1875,718.1,93.431,1251,3925.6,1834,15.133,1002.5,2422,1149.05,2597.3,110.22,87.599,3620.6,126.631,5252.5,20011,147.878,421.6875,55.29,136.54,82.015
"4696",2005-01-19,1735.97,90.54,95.9140625,109.21,79.46,145.35,1.48689,86.234375,49.32,1899.28,80.640625,186.37,93.6831,592.63,5018.17,249.7,84.53125,127.64,3593.6,59.56,9.642,49.31,72.3,14400,101.169,107.32,908,15.914,1806.875,718.1,93.522,1282,3926.97,1840,15.08,1006.375,2442.4375,1137.33,2593.3,113.17,87.788,3615.2,125.509,5245.3,20082,148.27,425.1875,55.55,133.881,81.664
"4697",2005-01-20,1713.46,90.24,96.00390625,108.87,78.63,145.91,1.48243,86.390625,49.2,1875.57,80.765625,186.85,93.7227,591.65,4961.6,249.14,84.6875,126.907,3579.4,60.86,9.545,49.53,72.08,14255,101.131,106.38,906.5,15.841,1784.1875,709.87,93.382,1270,3911.18,1839,14.985,1011.4375,2407.6875,1130.51,2575.9,112.27,88.092,3600.9,125.45,5203.2,20035,145.481,429.6875,55.58,134.143,81.233
"4698",2005-01-21,1698.83,90.27,96.09765625,109.38,78.46,147.98,1.4934,86.578125,49.25,1882.62,80.921875,187.41,93.6831,597.67,4959.24,249.21,84.84375,127.771,3580.2,59.67,9.912,50.2,72.13,14055,101.164,109.76,930,15.91,1776.1875,738.2,93.44,1292,3920.79,1855,15.06,1007.625,2415.875,1123.01,2582.6,110.83,87.473,3601.8,124.889,5193.7,20071,148.465,424.375,56.23,133.768,82.075
"4699",2005-01-24,1678.01,90.37,96.04296875,109.45,78.9,147.46,1.49409,86.5390625,49.65,1884.54,80.96875,187.59,93.7128,597.95,4961.01,249.21,85.09375,127.849,3580.9,59.71,9.984,50.28,72.17,14125,101.188,110.44,921,15.923,1764.1875,744.13,93.481,1290,3929.03,1838.5,15.086,1011.4375,2411.8125,1120.71,2578.9,109.58,87.399,3603.6,123.501,5176.1,19975,147.585,427,56.36,132.907,81.895
"4700",2005-01-25,1682.51,90.31,96,108.49,78.98,147.36,1.48346,86.3671875,49.57,1898,80.671875,185.86,93.6781,590.95,5002.85,251.15,84.53125,125.913,3606.7,60.48,9.73,49.92,72.21,14200,101.173,112.72,910,15.79,1757.5625,758.3,93.431,1275,3944.81,1807,14.951,1017.875,2426.0625,1124.07,2600.7,110.38,88.239,3622.4,123.442,5215,20078,146.9,431.9375,55.91,133.019,81.073
"4702",2005-01-27,1698.27,90.05,95.9140625,109.4,78.87,147.15,1.49158,86.21875,48.87,1904.41,80.53125,188.43,93.6534,596.83,4982.81,252.6,84.46875,127.274,3611.6,59.33,9.926,50.35,71.95,14400,101.088,111.47,925,15.859,1721.5625,769.26,93.234,1278.5,3944.13,1828,14.961,1001.25,2364.8125,1128.87,2602.3,103.49,87.609,3672.4,123.236,5266.1,20004,145.188,423.5,56.8,133.731,80.942
"4703",2005-01-28,1698.83,90.4,96,109.27,79.2,148.34,1.49203,86.4296875,48.39,1896.72,80.875,188.4,93.6336,596.13,4961.6,251.68,85.0625,126.881,3600,59.02,9.89,50.16,72.1,14425,101.193,107.89,932,15.833,1729.5625,728.6,93.489,1289,3932.46,1842,14.969,1001.25,2368.9375,1128.87,2593.3,102.29,87.672,3648.3,123.637,5274.2,19940,145.041,422.0625,56.65,134.517,80.832
"4704",2005-01-31,1715.15,90.41,95.93359375,108.89,79.41,147.98,1.49055,86.3671875,48.69,1919.16,80.890625,187.88,93.6287,590.56,5033.49,254.26,85.1875,126.541,3609,58.91,9.82,49.99,72.1,14525,101.164,110.22,935,15.82,1736.25,725.86,93.473,1297,3944.13,1850,14.876,1007.625,2377.0625,1135.6,2620.4,103.26,87.788,3648.3,124.007,5321.8,20166,144.356,422.6875,56.71,135.192,80.812
