symbol,asset_class
AD,Currencies
AH,Commodities
BO,Commodities
BP,Currencies
C,Commodities
CC,Commodities
CD,Currencies
CF,Equities
CN,Fixed Income
CO,Commodities
CT,Commodities
DU,Fixed Income
DX,Currencies
EC,Currencies
EO,Equities
FC,Commodities
FV,Fixed Income
G,Fixed Income
GC,Commodities
GX,Equities
HG,Commodities
IB,Equities
JY,Currencies
KC,Commodities
KW,Commodities
LC,Commodities
LH,Commodities
NG,Commodities
NI,Commodities
NO,Currencies
NQ,Equities
NV,Currencies
OE,Fixed Income
PB,Commodities
PT,Equities
QS,Commodities
RX,Fixed Income
S,Commodities
SB,Commodities
SE,Currencies
SF,Currencies
SI,Commodities
SM,Commodities
SMI,Equities
SP,Equities
TU,Fixed Income
TY,Fixed Income
UB,Fixed Income
US,Fixed Income
VG,Equities
W,Commodities
XM,Fixed Income
XP,Equities
Z,Equities
ZS,Commodities
