date,AD,AH,BO,BP,C,CC,CD,CF,CN,CO,CT,DU,DX,EC,EO,FC,FV,G,GC,GX,HG,IB,JY,KC,KW,LC,LH,NG,NI,NO,NQ,NV,OE,PB,PT,QS,RX,S,SB,SE,SF,SI,SM,SMI,SP,TU,TY,UB,US,VG,W,XM,XP,Z,ZS
2004-01-05,53.91,1613.0,66.96,174.8,1517.75,3022.0,77.498,2405.7,84.5,65.52,172.44,99.673,91.848,1.44085,239.83,77.236,84.34375,70.42,606.88,4894.86,112.84,4529.8,125.764,509.22,2305.875,110.281,68.113,488.375,17100.0,14.156,1707.22,45.18,89.079,739.0,398.87,404.75,82.8,551.625,17.56,15.29,106.31,9.302,85.39,3756.11,1077.69,96.0,76.8125,68.64,76.53125,1789.0,3830.75,93.139,2969.1,3401.3,1047.0
2004-01-06,54.03,1605.0,67.13,176.28,1508.75,3178.0,77.399,2398.4,85.05,65.37,172.15,99.824,91.401,1.45076,238.61,76.745,84.765625,70.56,604.6,4889.44,111.13,4529.8,125.658,519.99,2275.875,108.231,66.531,506.617,15260.0,14.072,1717.5,45.22,89.385,728.0,399.12,414.75,83.29,551.625,18.02,15.354,106.63,9.425,85.25,3769.66,1079.61,96.1875,77.421875,69.22,77.34375,1792.81,3792.3125,93.0747,2997.0,3396.8,1027.0
2004-01-07,53.92,1600.0,65.55,175.91,1499.75,3366.0,77.06,2377.7,85.18,65.24,168.44,99.852,92.029,1.43766,237.28,78.148,84.8671875,70.71,603.31,4871.37,110.72,4531.8,125.658,511.08,2271.625,110.428,66.866,492.024,15275.0,13.835,1731.77,45.11,89.466,721.0,400.14,410.11,83.33,547.0,18.3,15.234,105.7,9.328,84.0,3761.53,1083.07,96.21484375,77.625,69.19,77.625,1782.65,3801.875,93.1439,2990.7,3377.5,1023.0
2004-01-08,54.38,1619.0,66.82,177.12,1510.25,3303.0,77.578,2394.7,85.0,65.92,170.92,99.88,91.348,1.45099,240.8,79.223,84.890625,70.75,606.31,4906.9,115.08,4544.7,125.618,507.37,2275.875,110.135,65.709,507.475,16100.0,13.899000000000001,1747.75,45.46,89.563,743.0,399.89,407.61,83.49,549.5625,17.74,15.358,106.82,9.343,84.0,3785.91,1086.73,96.20703125,77.65625,69.26,77.625,1805.52,3787.5,93.1093,2985.3,3391.5,1051.0
2004-01-09,54.53,1620.0,67.11,178.62,1505.75,3426.0,78.146,2382.7,85.67,66.53,168.73,100.078,90.827,1.45999,239.56,80.625,85.6484375,71.38,609.74,4856.92,114.56,4532.4,125.365,510.71,2240.1875,111.197,65.435,521.282,16100.0,14.02,1736.9,45.85,89.998,740.0,397.17,419.76,84.01,546.5,18.27,15.449,107.3,9.677,82.95,3768.98,1077.59,96.53125,78.609375,69.8,78.9375,1784.55,3705.75,93.1142,2981.7,3368.8,1042.0
2004-01-12,54.58,1608.0,70.28,178.59,1592.75,3413.0,77.977,2372.1,85.71,67.36,168.94,100.087,91.327,1.44985,238.19,80.415,85.671875,71.53,609.45,4834.64,112.38,4548.1,125.032,525.55,2340.125,109.403,63.031,494.027,14850.0,13.971,1763.16,45.91,90.055,733.0,399.46,416.83,84.13,567.0,18.39,15.325,106.76,9.856,85.84,3723.6,1085.67,96.53125,78.640625,69.95,78.96875,1782.01,3837.9375,93.3268,2996.1,3355.6,1033.0
2004-01-13,54.6,1602.5,71.08,178.21,1610.75,3364.0,78.166,2384.4,85.91,66.53,169.05,100.05,91.242,1.44974,239.03,81.514,85.9375,71.51,605.74,4811.75,112.69,4550.4,125.551,519.24,2303.0,109.622,63.822,452.751,14300.0,14.048,1744.89,45.89,89.974,730.0,398.44,414.26,84.02,578.1875,18.42,15.287,107.15,9.826,88.9,3750.69,1078.94,96.62890625,78.96875,69.81,79.3125,1779.47,3768.25,93.3071,2976.3,3348.7,1030.0
2004-01-14,54.49,1628.0,70.14,177.41,1612.25,3297.0,77.179,2408.3,86.14,65.81,167.37,100.022,91.816,1.4404,242.13,82.916,85.9609375,71.43,602.88,4896.06,113.57,4567.3,125.737,514.79,2305.875,111.819,64.766,456.9,13500.0,13.984,1755.17,45.82,89.95,733.0,400.99,399.24,84.08,579.875,18.02,15.125,106.3,9.577,90.33,3789.98,1088.56,96.6171875,79.125,69.71,79.8125,1800.43,3799.5,93.3763,2993.4,3362.7,1036.0
2004-01-15,54.14,1613.0,70.21,176.27,1612.25,3290.0,76.801,2416.0,86.17,63.16,169.46,99.984,92.401,1.43037,245.09,83.407,85.875,71.34,583.88,4943.64,112.53,4558.1,125.458,516.27,2265.875,114.016,65.496,418.127,13900.0,13.823,1755.17,45.24,89.885,726.0,403.28,398.15,83.99,575.4375,17.65,15.033,105.18,9.254,89.5,3793.36,1090.39,96.55859375,79.109375,69.76,80.0625,1818.86,3713.0,93.3713,2983.5,3357.8,1020.0
2004-01-16,53.62,1622.5,69.62,173.71,1634.75,3274.0,76.531,2447.0,85.92,65.6,169.99,99.993,93.656,1.40748,249.44,83.361,85.7578125,71.21,581.45,4974.95,113.57,4573.9,124.805,528.15,2310.125,115.261,66.653,424.923,14750.0,13.578,1772.86,44.67,89.845,728.0,406.93,399.61,83.9,575.9375,17.83,14.78,103.3,9.428,89.98,3828.58,1095.1,96.57421875,78.875,69.55,79.84375,1827.75,3825.9375,93.3466,2975.4,3377.1,1019.0
