date,NQ1 Index,RX1 Comdty,TU1 Comdty,SF1 Curncy,UB1 Comdty,HG1 Comdty,PT1 Index,EC1 Curncy,FV1 Comdty,JB1 Comdty,BO1 Comdty,VG1 Index,NG1 Comdty,TY1 Comdty,BP1 Curncy,XM1 Comdty,GC1 Comdty,GX1 Index,EO1 Index,CN1 Comdty,US1 Comdty,JY1 Curncy,WN1 Comdty,Z 1 Index,SM1 Comdty,SI1 Comdty,NV1 Curncy,G 1 Comdty,LMNIDS03 Comdty,QC1 Index,DU1 Comdty,CO1 Comdty,LMPBDS03 Comdty,SE1 Curncy,KW1 Comdty,QS1 Comdty,OE1 Comdty,LMZSDS03 Comdty,SM1 Index,LMAHDS03 Comdty,NO1 Curncy,C 1 Comdty,CL1 Comdty,XB1 Comdty,W 1 Comdty,SP1 Index,CF1 Index,CT1 Comdty,DX1 Curncy,HO1 Comdty,HI1 Index,KC1 Comdty,XP1 Index,FC1 Comdty,IB1 Index,CC1 Comdty,ST1 Index,SB1 Comdty,NK1 Index,LH1 Comdty,S 1 Comdty,AD1 Curncy,LC1 Comdty,CD1 Curncy
1987-01-02,,,,109.36,,,,,,,137.9,,,43.734375,98.48,,1292.97,,,,38.6875,144.585,,,20.55,22.295,,52.32,,,,,,,2118.6875,,,,,,,5993.125,24.44,,,388.75,,,,11.33,,,,22.148,,,,,,33.974,540.3125,,39.543,60.86
1987-01-05,,,,108.58,,,,,,59.46,139.34,,,43.9375,97.58,,1296.17,,,,38.9375,143.718,,,20.49,22.234,,51.65,2446.0,,,,449.25,,2108.125,,,,,,,5888.3125,24.19,,13300.625,398.99,,407.0,138.497,11.16,,4925.86,,22.457,,34704.0,,6.43,,34.205,541.4375,,40.108,60.986
1987-01-06,,,,109.66,,,,,,59.57,139.7,,,43.890625,97.98,,1287.21,,,,38.90625,144.243,,,20.23,22.052,,51.96,2436.0,,,,452.07,,2093.3125,,,,,,,5831.1875,24.56,,13202.25,399.47,,402.82,137.757,11.38,,4969.73,,22.721,,34134.0,,6.15,,34.508,536.5,,40.355,61.087
1987-01-07,,,,108.94,,,,,,59.67,141.78,,,43.953125,97.44,,1293.93,,,,39.09375,144.813,,,20.28,22.112,,51.93,2434.0,,,,454.19,,2127.1875,,,,,,,5926.4375,24.6,,13595.9375,403.72,,403.94,138.417,11.44,,4940.73,,22.775,,34245.0,,6.22,,34.027,540.875,,40.355,61.197
1987-01-08,,,,110.19,,,,,,59.76,140.33,,,43.9375,98.08,,1292.65,,,,39.15625,145.132,,,20.63,22.153,,52.52,2401.0,,,,449.19,,2137.75,,,,,,,5916.9375,25.03,,13632.875,405.37,,398.64,137.677,11.61,,4982.37,,22.939,,34116.0,,6.77,,34.615,544.1875,,40.709,61.239
1987-01-09,,,,110.13,,,,,,59.68,141.69,,,44.015625,97.88,,1304.17,,,,39.34375,144.745,,,20.45,22.518,,52.43,2390.0,,,,442.99,,2144.0625,,,,,,,5974.0625,25.3,,13669.75,408.84,,401.43,137.955,11.84,,4943.34,,22.939,,34098.0,,6.98,,33.654,543.625,,40.779,61.213
1987-01-12,,,,111.51,,,,,,59.75,145.29,,,43.90625,98.61,,1312.81,,,,39.125,145.703,,,20.43,22.721,,52.35,2380.0,,,,448.35,,2150.4375,,,,,,,6097.9375,25.62,,13694.375,410.81,,406.65,136.528,12.21,,4736.26,,23.221,,34134.0,,6.91,,33.76,545.8125,,41.33,61.357
1987-01-13,,,,112.28,,,,,,59.76,143.4,,,43.828125,98.95,,1319.53,,,,38.9375,147.209,,,20.45,22.66,,51.78,2361.0,,,,439.14,,2169.4375,,,,,,,5955.0,25.46,,13842.0625,411.76,,407.35,135.273,12.11,,4725.11,,23.33,,34447.0,,7.1,,34.027,543.375,30.33,41.274,61.399
1987-01-14,,,,114.92,,,,,,59.8,143.13,,,43.71875,99.72,,1341.62,,,,38.75,149.832,,,20.69,22.863,,51.95,2400.0,,,,442.42,,2180.0,,,,,,,6088.4375,25.78,,13928.1875,414.83,,406.65,133.067,12.37,,4669.72,,23.394,,34667.0,,7.3,,34.241,547.1875,29.77,41.592,61.626
1987-01-15,,,,114.36,,,,,,,143.31,,,43.828125,99.78,,1334.58,,,,38.78125,149.171,,,20.63,22.904,,52.0,2375.0,,,,434.09,,2188.5,,,,,,,6012.1875,25.8,,13952.75,420.58,,405.61,133.371,12.38,,4581.98,,23.412,,34576.0,,7.12,,33.885,546.375,30.19,41.733,61.592
