"","date","RX1.Comdty","TU1.Comdty","SF1.Curncy","UB1.Comdty","HG1.Comdty","EC1.Curncy","FV1.Comdty","BO1.Comdty","TY1.Comdty","BP1.Curncy","XM1.Comdty","GC1.Comdty","EO1.Index","US1.Comdty","JY1.Curncy","SM1.Comdty","SI1.Comdty","NV1.Curncy","G.1.Comdty","DU1.Comdty","CO1.Comdty","SE1.Curncy","OE1.Comdty","NO1.Curncy","C.1.Comdty","CT1.Comdty","DX1.Curncy","FC1.Comdty","LH1.Comdty","S.1.Comdty","AD1.Curncy","LC1.Comdty","CD1.Curncy"
"4685",2005-01-04,89.59,95.9609375,110.89,76.54,138.49,1.51868,86.21875,50.23,80.28125,187.26,93.5643,600.89,248.82,82.90625,125.704,59.71,9.391,49.31,72.52,100.95,98.24,16.201,92.97,15.196,1028.0625,104.98,86.801,123.767,149.688,431.125,55.82,135.566,81.965
"4686",2005-01-05,89.63,95.94921875,110.92,76.68,141.79,1.51788,86.1953125,50.48,80.28125,187.76,93.5445,598.23,247.41,83.125,126.24,59.71,9.511,49.12,72.42,100.983,96.98,16.232,93.044,15.209,1030.625,107.65,86.749,123.028,148.221,432.75,55.86,133.955,81.785
"4689",2005-01-10,89.96,95.92578125,109.69,77.55,141.22,1.49775,86.1328125,50.98,80.265625,186.99,93.6287,587.59,250.55,83.34375,126.096,63.77,9.388,48.78,72.65,101.059,102.75,15.998,93.25,15.082,1057.5,111.47,87.494,123.826,146.851,450.4375,55.38,135.679,82.065
"4690",2005-01-11,89.96,95.92578125,109.74,77.48,144.06,1.50118,86.1796875,50.23,80.390625,187.13,93.7029,591.37,248.86,83.71875,127.169,63.27,9.661,49.1,72.6,101.078,103.22,16.071,93.267,15.156,1057.5,109.01,87.189,124.8,150.764,446.125,55.64,137.664,82.316
"4691",2005-01-12,89.9,95.94921875,111.11,77.44,144.78,1.51799,86.21875,49.52,80.4375,188.55,93.7573,597.25,247.37,83.8125,128.333,62.01,9.814,49.69,72.56,101.069,104.56,16.21,93.234,15.342,1025.5,109.94,86.255,124.918,148.318,438.3125,56.07,137.926,83.549
"4692",2005-01-13,90.23,96,110.44,77.95,142.41,1.51056,86.3828125,50.5,80.703125,187.44,93.7524,595.15,247.52,84.3125,128.085,61.89,9.817,49.46,72.75,101.173,108.23,16.113,93.481,15.287,1023,109.2,86.665,125.391,149.101,440.5625,56.02,136.615,83.409
"4693",2005-01-14,90.28,95.90625,109.61,78.25,143.95,1.49832,86.234375,49.37,80.578125,186.23,93.787,592.21,248.68,84.15625,128.673,59.29,9.606,49.03,72.7,101.164,107.92,15.982,93.456,15.143,1008.875,108.94,87.252,125.037,150.226,426.625,55.46,136.84,82.156
"4695",2005-01-18,90.39,95.890625,109.43,78.89,144.52,1.49112,86.21875,48.89,80.640625,186.09,93.7177,592.91,249.7,84.5,128.385,58.87,9.686,48.96,72.43,101.145,108.95,15.932,93.431,15.133,1002.5,110.22,87.599,126.631,147.878,421.6875,55.29,136.54,82.015
"4696",2005-01-19,90.54,95.9140625,109.21,79.46,145.35,1.48689,86.234375,49.32,80.640625,186.37,93.6831,592.63,249.7,84.53125,127.64,59.56,9.642,49.31,72.3,101.169,107.32,15.914,93.522,15.08,1006.375,113.17,87.788,125.509,148.27,425.1875,55.55,133.881,81.664
"4697",2005-01-20,90.24,96.00390625,108.87,78.63,145.91,1.48243,86.390625,49.2,80.765625,186.85,93.7227,591.65,249.14,84.6875,126.907,60.86,9.545,49.53,72.08,101.131,106.38,15.841,93.382,14.985,1011.4375,112.27,88.092,125.45,145.481,429.6875,55.58,134.143,81.233
"4698",2005-01-21,90.27,96.09765625,109.38,78.46,147.98,1.4934,86.578125,49.25,80.921875,187.41,93.6831,597.67,249.21,84.84375,127.771,59.67,9.912,50.2,72.13,101.164,109.76,15.91,93.44,15.06,1007.625,110.83,87.473,124.889,148.465,424.375,56.23,133.768,82.075
"4699",2005-01-24,90.37,96.04296875,109.45,78.9,147.46,1.49409,86.5390625,49.65,80.96875,187.59,93.7128,597.95,249.21,85.09375,127.849,59.71,9.984,50.28,72.17,101.188,110.44,15.923,93.481,15.086,1011.4375,109.58,87.399,123.501,147.585,427,56.36,132.907,81.895
"4700",2005-01-25,90.31,96,108.49,78.98,147.36,1.48346,86.3671875,49.57,80.671875,185.86,93.6781,590.95,251.15,84.53125,125.913,60.48,9.73,49.92,72.21,101.173,112.72,15.79,93.431,14.951,1017.875,110.38,88.239,123.442,146.9,431.9375,55.91,133.019,81.073
"4702",2005-01-27,90.05,95.9140625,109.4,78.87,147.15,1.49158,86.21875,48.87,80.53125,188.43,93.6534,596.83,252.6,84.46875,127.274,59.33,9.926,50.35,71.95,101.088,111.47,15.859,93.234,14.961,1001.25,103.49,87.609,123.236,145.188,423.5,56.8,133.731,80.942
"4703",2005-01-28,90.4,96,109.27,79.2,148.34,1.49203,86.4296875,48.39,80.875,188.4,93.6336,596.13,251.68,85.0625,126.881,59.02,9.89,50.16,72.1,101.193,107.89,15.833,93.489,14.969,1001.25,102.29,87.672,123.637,145.041,422.0625,56.65,134.517,80.832
"4704",2005-01-31,90.41,95.93359375,108.89,79.41,147.98,1.49055,86.3671875,48.69,80.890625,187.88,93.6287,590.56,254.26,85.1875,126.541,58.91,9.82,49.99,72.1,101.164,110.22,15.82,93.473,14.876,1007.625,103.26,87.788,124.007,144.356,422.6875,56.71,135.192,80.812
"4705",2005-02-01,90.47,95.94140625,108.89,79.64,146.02,1.49363,86.3828125,47.89,80.90625,188.04,93.6534,588.89,256.62,85.15625,126.633,58.48,9.795,50.16,72.19,101.173,107.58,15.861,93.481,14.939,1007.625,103.54,87.609,124.501,144.063,416.3125,56.74,136.016,81.053
"4706",2005-02-02,90.33,95.8984375,108.71,79.97,143.7,1.4918,86.3203125,47.64,80.875,188.33,93.7029,589.03,257.64,85.21875,126.384,58.29,9.824,50.27,72.18,101.131,105.64,15.876,93.398,14.966,998.6875,104.46,87.693,123.298,140.149,414.9375,56.99,135.903,81.023
"4707",2005-02-03,90.3,95.83984375,107.73,80.02,143.18,1.48369,86.1953125,47.44,80.71875,187.85,93.688,582.76,257.08,85.15625,125.39,57.72,9.718,49.95,72.1,101.107,105.25,15.782,93.324,14.83,997.375,101.75,88.197,123.113,140.394,412.25,56.4,136.353,80.762
"4708",2005-02-04,90.71,95.94140625,106.98,80.98,141.84,1.47294,86.5,47.89,81.171875,187.14,93.688,579.14,259.41,85.96875,126.005,56.99,9.664,50.06,72.54,101.169,105.35,15.675,93.505,14.715,997.375,101.94,88.638,122.465,138.633,410.1875,56.34,136.241,80.301
"4709",2005-02-07,90.81,95.8984375,105.98,81.52,143.18,1.46139,86.515625,47.79,81.25,185.56,93.6732,578.44,260.57,86.40625,125.129,57.34,9.541,49.42,72.67,101.126,103.31,15.536,93.489,14.461,1003.8125,102.03,89.32,123.175,138.388,411.625,56.32,136.974,79.839
"4710",2005-02-08,91.03,95.86328125,106.06,81.83,143.13,1.4615,86.4765625,48.21,81.296875,185.2,93.6979,576.91,260.71,86.59375,124.135,57.64,9.543,49.31,72.74,101.135,103.38,15.536,93.588,14.422,996.125,100.76,89.362,124.47,134.573,413.5,56.12,137.206,80.351
"4711",2005-02-09,91.09,96.01953125,106.31,81.99,143.03,1.46345,86.8515625,48.16,81.6875,185.53,93.7326,577.19,260.22,86.9375,123.912,58.71,9.592,49.53,72.82,101.173,103.52,15.585,93.654,14.468,997.375,101.63,89.289,124.501,133.692,419.4375,56.39,136.163,80.23
